Bericht,Berichtklasse,Berichtelement\Datatype,CDT-element\Datatype,CDT-element\Datatype,Sleutelelement,Codelijst,Regel,Regelcode,Retourcode
JW301,ToegewezenProduct,Product,,,,,IV075: Hoe moeten productgegevens gevuld worden?,IV075,
JW301,ToegewezenProduct,Product\CDT_Product,Categorie\LDT_ProductCategorie,,,JZ020,RS009: Maximale lengte 2 posities,RS009,
JW301,ToegewezenProduct,Product\CDT_Product,Code,,,,"TR381: ProductCode vullen met een code die, volgens de gehanteerde productcodelijst, past bij de ProductCategorie.",TR381,S329
JW301,ToegewezenProduct,Product\CDT_Product,Code\LDT_ProductCode,,,,RS012: Maximale lengte 5 posities,RS012,
JW301,ToegewezenProduct,Product\CDT_Product,Code\LDT_ProductCode,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,ToegewezenProduct,Toewijzingsdatum,,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW301,ToegewezenProduct,Toewijzingsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,ToegewezenProduct,Toewijzingstijd,,,,,IV013: Welke toewijzing is het meest recent?,IV013,
JW301,ToegewezenProduct,Toewijzingstijd\LDT_Tijd,,,,,RS034: Tijd vullen zonder tijdszone.,RS034,
JW301,ToegewezenProduct,Ingangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,ToegewezenProduct,Einddatum,,,,,CD075: Verplicht vullen indien Budget gevuld is,CD075,0001
JW301,ToegewezenProduct,Einddatum,,,,,CD076: Verplicht vullen indien Frequentie waarde 2 (per week),CD076,0001
JW301,ToegewezenProduct,Einddatum,,,,,"CS003: Indien van toepassing vullen met een waarde die groter is dan, of gelijk is aan de Begindatum (of Ingangsdatum) van de aangeduide periode.",CS003,0001
JW301,ToegewezenProduct,Einddatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,ToegewezenProduct,RedenWijziging,,,,,CS335: RedenWijziging 13 (verwijderd) mag alleen gebruikt worden indien de ingangsdatum gelijk is aan de einddatum,CS335,0001
JW301,ToegewezenProduct,RedenWijziging,,,,,CS336: 01 (Administratieve correctie (vervallen)) niet gebruiken,CS336,0001
JW301,ToegewezenProduct,RedenWijziging,,,,,IV099: Wanneer moet RedenWijziging worden gevuld?,IV099,
JW301,ToegewezenProduct,RedenWijziging\LDT_RedenWijziging,,,,JZ002,RS009: Maximale lengte 2 posities,RS009,
JW301,ToegewezenProduct,Omvang,,,,,"CD041: Indien Code in Product gevuld is, verplicht vullen.",CD041,0001
JW301,ToegewezenProduct,Omvang,,,,,"CD077: Indien Budget gevuld is, dan leeg laten",CD077,0001
JW301,ToegewezenProduct,Omvang,,,,,"CD080: Indien Code in Product leeg is en Einddatum van het ToegewezenProduct groter dan 31-12-2020 of leeg is, dan leeg laten",CD080,0001
JW301,ToegewezenProduct,Omvang,,,,,"CS338: Indien eenheid de waarde 14, 16, 83 of 84 heeft en Einddatum groter dan 31-12-2020 of leeg is, dan Frequentie vullen met de waarde 2 , 4 of 6",CS338,0001
JW301,ToegewezenProduct,Omvang,,,,,IV042: Hoe moet de omvang van te leveren of geleverde ondersteuning gevuld worden?,IV042,
JW301,ToegewezenProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS001: Minimale waarde 0,RS001,
JW301,ToegewezenProduct,Omvang\CDT_Omvang,Volume\LDT_Volume,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW301,ToegewezenProduct,Omvang\CDT_Omvang,Eenheid\LDT_Eenheid,,,WJ756,RS009: Maximale lengte 2 posities,RS009,
JW301,ToegewezenProduct,Omvang\CDT_Omvang,Frequentie\LDT_Frequentie,,,WMO757,RS008: Maximale lengte 1 positie,RS008,
JW301,ToegewezenProduct,Commentaar\LDT_Commentaar,,,,,RS031: Commentaarvelden niet leeg.,RS031,
JW301,ToegewezenProduct,Budget,,,,,"CD078: Indien Omvang gevuld is, dan leeg laten",CD078,0001
JW301,ToegewezenProduct,Budget,,,,,IV024: Hoe moeten bedragen worden gevuld?,IV024,
JW301,ToegewezenProduct,Budget\LDT_Budget,,,,,RS001: Minimale waarde 0,RS001,
JW301,ToegewezenProduct,Budget\LDT_Budget,,,,,RS005: Maximale waarde 99999999 (8*9),RS005,
JW305,,,,,,,"OP003:  Het gestandaardiseerd berichtenverkeer wordt niet gebruikt indien, naar oordeel van een (zorg)professional, de overdracht van clientgegevens ernstige risico's met zich meebrengt voor de veiligheid van de client.",OP003,
JW305,,,,,,,OP011: De aanbieder meldt de begindatum van de levering nadat de ondersteuning daadwerkelijk is aangevangen.,OP011,
JW305,,,,,,,"OP033: Voor het doorgeven van wijzigingen en correcties op een eerder verzonden bericht, moet gebruik gemaakt worden van de systematiek van status aanlevering.",OP033,
JW305,,,,,,,OP033x2: Het gebruik van status aanlevering met waarde 2 (een berichtklasse is gewijzigd) is niet toegestaan.,OP033x2,
JW305,,,,,,,"OP039: In het berichtenverkeer mogen ketenpartijen clientgegevens doorgeven zoals deze in de administratie van de betreffende ketenpartij voorkomen, mits deze gegevens geen onderdeel zijn van een logische sleutel.",OP039,
JW305,,,,,,,"OP047: Als een bericht niet aan de geldende standaard voldoet, mag het bericht afgekeurd worden.",OP047,
JW305,,,,,,,OP079: Het is verplicht om gebruik te maken van het BSN van de client in de onderlinge uitwisseling van gegevens.,OP079,
JW305,,,,,,,OP080: Aan het tijdstip waarop en de volgorde waarin berichten worden ontvangen en verwerkt kunnen ketenpartijen geen betekenis hechten.,OP080,
JW305,,,,,,,OP095: Een bericht mag niet worden afgekeurd op basis van informatie waartoe de verzendende partij geen toegang heeft.,OP095,
JW305,,,,,,,OP179: De grootte van verzonden bestanden mag niet meer zijn dan 25 Mb.,OP179,
JW305,,,,,,,OP192: Verzonden berichten moeten voldoen aan de technische eisen.,OP192,
JW305,,,,,,,OP252: Bij een (deels) onbekende geboortedatum moet aangegeven worden welk deel van de geboortedatum betrouwbaar is.,OP252,
JW305,,,,,,,OP254: In de iJw berichten worden AGB-codes gebruikt voor routering van de berichten en voor identificatie van de aanbieder.,OP254,
JW305,,,,,,,OP270: Aanbieder en gemeente maken onderling afspraken over de door te geven begin- en einddatum in de regieberichten.,OP270,
JW305,,,,,,,OP271: De aanbieder verzendt een startbericht binnen vijf werkdagen na de daadwerkelijke datum waarop de ondersteuning gestart is,OP271,
JW305,,,,,,,"OP286: Als de ontvanger een technische fout constateert, keurt deze het bericht in zijn geheel af en laat hij dit weten aan de verzender. Het bericht moet daarmee functioneel als niet-verzonden worden beschouwd",OP286,
JW305,,,,,,,"OP288: Indien de start van de levering gemeld is met een Startbericht, wordt de beeindiging van die levering altijd doorgegeven met een Stopbericht.",OP288,
JW305,,,,,,,OP289: Bij een toegewezen product kan slechts één Startbericht actueel zijn.,OP289,
JW305,,,,,,,OP295: Het gebruik van regieberichten is verplicht.,OP295,
JW305,,,,,,,OP363: Bij een output- of inspanningsgerichte werkwijze meldt de aanbieder een start en stop van de ondersteuning van producten waarvoor een toewijzing is ontvangen.,OP363,
JW305,,,,,,,OP379: Na een (tijdelijke) stop is het toegestaan een start te sturen.,OP379,
JW305,,,,,,,IV008: Hoe moet worden omgegaan met correcties van de regieberichten?,IV008,
JW305,Client,Bsn\LDT_BurgerServicenummer,,,ja,,CS002: De waarde moet voldoen aan de 11-proef.,CS002,0001
JW305,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS015: Maximale lengte 9 posities,RS015,
JW305,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS037: Vullen met 9 cijfers.,RS037,
JW305,Client,Geboortedatum,,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW305,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,"TR002: Geboortedatum mag niet meer dan 120 jaar voor de Dagtekening liggen, tenzij Geboortedatum onbekend is.",TR002,0001
JW305,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW305,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,IV009: Hoe moet worden omgegaan met een geboortedatum?,IV009,
JW305,Client,Geboortedatum\CDT_Geboortedatum,Datum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW305,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik,,,,CS139: Voor Geboortedatum geldt dat DatumGebruik en Datum met elkaar in overeenstemming moeten zijn.,CS139,0001
JW305,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik\LDT_DatumGebruik,,,COD170,RS008: Maximale lengte 1 positie,RS008,
JW305,Client,Geslacht\LDT_Geslacht,,,,COD046,RS008: Maximale lengte 1 positie,RS008,
JW305,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW305,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW305,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW305,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW305,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS028: Maximale lengte 200 posities,RS028,
JW305,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS033: Geen lege elementen in XML.,RS033,
JW305,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS013: Maximale lengte 6 posities,RS013,
JW305,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS045: Aaneengesloten vullen (zonder punten of spaties).,RS045,
JW305,Header,Afzender\LDT_AgbCode,,,,,RS014: Maximale lengte 8 posities,RS014,
JW305,Header,Afzender\LDT_AgbCode,,,,,RS036: Vullen met 8 cijfers.,RS036,
JW305,Header,Ontvanger,,,,,IV046: Welke gemeentecode moet gevuld worden?,IV046,
JW305,Header,Ontvanger\LDT_Gemeente,,,,,RS035: Vullen met 4 cijfers.,RS035,
JW305,Header,Ontvanger\LDT_Gemeente,,,,,TR378: Vullen met een bestaande gemeentecode uit het overzicht van CBS dat actueel is op Ingangsdatum of ToewijzingIngangsdatum.,TR378,S300
JW305,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie,,,,TR056: Identificatie moet per berichtsoort uniek zijn voor de verzendende partij.,TR056,9056
JW305,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS017: Maximale lengte 12 posities,RS017,
JW305,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS033: Geen lege elementen in XML.,RS033,
JW305,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening,,,,TR135: Vullen met een bestaande datum die niet in de toekomst ligt.,TR135,8848
JW305,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW305,Header,BerichtCode\LDT_BerichtCode,,,,,RS010: Maximale lengte 3 posities,RS010,
JW305,Header,BerichtCode\LDT_BerichtCode,,,,,RS047: Vullen met BerichtCode volgens de specificatie,RS047,
JW305,Header,BerichtVersie,,,,,CS025: BerichtVersie vullen met 3.,CS025,
JW305,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS001: Minimale waarde 0,RS001,
JW305,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS002: Maximale waarde 99,RS002,
JW305,Header,BerichtSubversie,,,,,CS015: BerichtSubversie vullen met 2.,CS015,
JW305,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS001: Minimale waarde 0,RS001,
JW305,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS002: Maximale waarde 99,RS002,
JW305,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW305,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW305,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW305,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW305,StartProduct,,,,,,TR019: Bij een output- of inspanningsgerichte werkwijze moet de melding van de start of de stop van de ondersteuning gerelateerd zijn aan een toewijzing op basis van het ToewijzingNummer,TR019,9019
JW305,StartProduct,,,,,,"TR074: Indien StatusAanlevering de waarde '1' bevat, dan moet de sleutel van de betreffende aanlevering niet alleen uniek zijn binnen het bericht zelf, maar ook in combinatie met alle reeds ontvangen berichten.",TR074,9074
JW305,StartProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW305,StartProduct,,,,,,TR326: Een Startbericht mag pas verstuurd worden als er géén actueel Startbericht bij ToegewezenProduct is.,TR326,9326
JW305,StartProduct,,,,,,IV096: Hoe wordt de sleutel van een start-/stopbericht gevuld?,IV096,
JW305,StartProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS001: Minimale waarde 0,RS001,
JW305,StartProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS006: Maximale waarde 999999999 (9*9),RS006,
JW305,StartProduct,Product,,,ja,,IV075: Hoe moeten productgegevens gevuld worden?,IV075,
JW305,StartProduct,Product\CDT_Product,Categorie\LDT_ProductCategorie,,ja,JZ020,RS009: Maximale lengte 2 posities,RS009,
JW305,StartProduct,Product\CDT_Product,Code,,ja,,"TR381: ProductCode vullen met een code die, volgens de gehanteerde productcodelijst, past bij de ProductCategorie.",TR381,S329
JW305,StartProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS012: Maximale lengte 5 posities,RS012,
JW305,StartProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS033: Geen lege elementen in XML.,RS033,
JW305,StartProduct,ToewijzingIngangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW305,StartProduct,Begindatum,,,ja,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW305,StartProduct,Begindatum\LDT_Datum,,,ja,,RS032: Datum vullen zonder tijdzone.,RS032,
JW305,StartProduct,StatusAanlevering,,,,,CS058: 1 (eerste aanlevering) of 3 (verwijderen aanlevering) vullen.,CS058,0001
JW305,StartProduct,StatusAanlevering,,,,,"TR063: Indien StatusAanlevering de waarde 3 (aanlevering verwijderen) bevat, dan moet voor de betreffende Client een eerdere aanlevering met dezelfde logische sleutel verstuurd zijn.",TR063,9063
JW305,StartProduct,StatusAanlevering,,,,,TR071: StatusAanlevering mag niet de waarde '3' bevatten als er voor de betreffende melding start zorg al een stop zorg is verstuurd.,TR071,9071
JW305,StartProduct,StatusAanlevering,,,,,IV008: Hoe moet worden omgegaan met correcties van de regieberichten?,IV008,
JW305,StartProduct,StatusAanlevering\LDT_StatusAanlevering,,,,COD467,RS008: Maximale lengte 1 positie,RS008,
JW307,,,,,,,"OP003:  Het gestandaardiseerd berichtenverkeer wordt niet gebruikt indien, naar oordeel van een (zorg)professional, de overdracht van clientgegevens ernstige risico's met zich meebrengt voor de veiligheid van de client.",OP003,
JW307,,,,,,,"OP033: Voor het doorgeven van wijzigingen en correcties op een eerder verzonden bericht, moet gebruik gemaakt worden van de systematiek van status aanlevering.",OP033,
JW307,,,,,,,OP033x2: Het gebruik van status aanlevering met waarde 2 (een berichtklasse is gewijzigd) is niet toegestaan.,OP033x2,
JW307,,,,,,,"OP039: In het berichtenverkeer mogen ketenpartijen clientgegevens doorgeven zoals deze in de administratie van de betreffende ketenpartij voorkomen, mits deze gegevens geen onderdeel zijn van een logische sleutel.",OP039,
JW307,,,,,,,"OP047: Als een bericht niet aan de geldende standaard voldoet, mag het bericht afgekeurd worden.",OP047,
JW307,,,,,,,OP072: Pas na een melding start ondersteuning mag een aanbieder melden dat de levering beeindigd is.,OP072,
JW307,,,,,,,OP079: Het is verplicht om gebruik te maken van het BSN van de client in de onderlinge uitwisseling van gegevens.,OP079,
JW307,,,,,,,OP080: Aan het tijdstip waarop en de volgorde waarin berichten worden ontvangen en verwerkt kunnen ketenpartijen geen betekenis hechten.,OP080,
JW307,,,,,,,OP095: Een bericht mag niet worden afgekeurd op basis van informatie waartoe de verzendende partij geen toegang heeft.,OP095,
JW307,,,,,,,"OP155: Een (tijdelijke) beeindiging van levering, bevat een verwijzing naar de laatste melding van de start van de levering.",OP155,
JW307,,,,,,,OP179: De grootte van verzonden bestanden mag niet meer zijn dan 25 Mb.,OP179,
JW307,,,,,,,OP192: Verzonden berichten moeten voldoen aan de technische eisen.,OP192,
JW307,,,,,,,OP252: Bij een (deels) onbekende geboortedatum moet aangegeven worden welk deel van de geboortedatum betrouwbaar is.,OP252,
JW307,,,,,,,OP254: In de iJw berichten worden AGB-codes gebruikt voor routering van de berichten en voor identificatie van de aanbieder.,OP254,
JW307,,,,,,,OP270: Aanbieder en gemeente maken onderling afspraken over de door te geven begin- en einddatum in de regieberichten.,OP270,
JW307,,,,,,,OP272: De aanbieder verzendt een stopbericht binnen vijf werkdagen na de daadwerkelijke datum waarop de ondersteuning beeindigd is.,OP272,
JW307,,,,,,,"OP286: Als de ontvanger een technische fout constateert, keurt deze het bericht in zijn geheel af en laat hij dit weten aan de verzender. Het bericht moet daarmee functioneel als niet-verzonden worden beschouwd",OP286,
JW307,,,,,,,"OP288: Indien de start van de levering gemeld is met een Startbericht, wordt de beeindiging van die levering altijd doorgegeven met een Stopbericht.",OP288,
JW307,,,,,,,OP289: Bij een toegewezen product kan slechts één Startbericht actueel zijn.,OP289,
JW307,,,,,,,OP295: Het gebruik van regieberichten is verplicht.,OP295,
JW307,,,,,,,OP363: Bij een output- of inspanningsgerichte werkwijze meldt de aanbieder een start en stop van de ondersteuning van producten waarvoor een toewijzing is ontvangen.,OP363,
JW307,,,,,,,OP377: Alleen een tijdelijke stop mag zonder tussenkomst van een startbericht gevolgd worden door een definitieve stop.,OP377,
JW307,,,,,,,OP378: Zonder tussenkomst van een startbericht is na een tijdelijke stop alleen een definitieve stop toegestaan.,OP378,
JW307,,,,,,,IV008: Hoe moet worden omgegaan met correcties van de regieberichten?,IV008,
JW307,Client,Bsn\LDT_BurgerServicenummer,,,ja,,CS002: De waarde moet voldoen aan de 11-proef.,CS002,0001
JW307,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS015: Maximale lengte 9 posities,RS015,
JW307,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS037: Vullen met 9 cijfers.,RS037,
JW307,Client,Geboortedatum,,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW307,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,"TR002: Geboortedatum mag niet meer dan 120 jaar voor de Dagtekening liggen, tenzij Geboortedatum onbekend is.",TR002,0001
JW307,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW307,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,IV009: Hoe moet worden omgegaan met een geboortedatum?,IV009,
JW307,Client,Geboortedatum\CDT_Geboortedatum,Datum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW307,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik,,,,CS139: Voor Geboortedatum geldt dat DatumGebruik en Datum met elkaar in overeenstemming moeten zijn.,CS139,0001
JW307,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik\LDT_DatumGebruik,,,COD170,RS008: Maximale lengte 1 positie,RS008,
JW307,Client,Geslacht\LDT_Geslacht,,,,COD046,RS008: Maximale lengte 1 positie,RS008,
JW307,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW307,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW307,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW307,Client,Naam\CDT_VerkorteNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW307,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS028: Maximale lengte 200 posities,RS028,
JW307,Client,Naam\CDT_VerkorteNaam,Voornamen\LDT_Naam,,,,RS033: Geen lege elementen in XML.,RS033,
JW307,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS013: Maximale lengte 6 posities,RS013,
JW307,Client,Naam\CDT_VerkorteNaam,Voorletters\LDT_Voorletters,,,,RS045: Aaneengesloten vullen (zonder punten of spaties).,RS045,
JW307,Header,Afzender\LDT_AgbCode,,,,,RS014: Maximale lengte 8 posities,RS014,
JW307,Header,Afzender\LDT_AgbCode,,,,,RS036: Vullen met 8 cijfers.,RS036,
JW307,Header,Ontvanger,,,,,IV046: Welke gemeentecode moet gevuld worden?,IV046,
JW307,Header,Ontvanger\LDT_Gemeente,,,,,RS035: Vullen met 4 cijfers.,RS035,
JW307,Header,Ontvanger\LDT_Gemeente,,,,,TR378: Vullen met een bestaande gemeentecode uit het overzicht van CBS dat actueel is op Ingangsdatum of ToewijzingIngangsdatum.,TR378,S300
JW307,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie,,,,TR056: Identificatie moet per berichtsoort uniek zijn voor de verzendende partij.,TR056,9056
JW307,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS017: Maximale lengte 12 posities,RS017,
JW307,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS033: Geen lege elementen in XML.,RS033,
JW307,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening,,,,TR135: Vullen met een bestaande datum die niet in de toekomst ligt.,TR135,8848
JW307,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW307,Header,BerichtCode\LDT_BerichtCode,,,,,RS010: Maximale lengte 3 posities,RS010,
JW307,Header,BerichtCode\LDT_BerichtCode,,,,,RS047: Vullen met BerichtCode volgens de specificatie,RS047,
JW307,Header,BerichtVersie,,,,,CS025: BerichtVersie vullen met 3.,CS025,
JW307,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS001: Minimale waarde 0,RS001,
JW307,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS002: Maximale waarde 99,RS002,
JW307,Header,BerichtSubversie,,,,,CS015: BerichtSubversie vullen met 2.,CS015,
JW307,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS001: Minimale waarde 0,RS001,
JW307,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS002: Maximale waarde 99,RS002,
JW307,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW307,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW307,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW307,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW307,StopProduct,,,,,,TR019: Bij een output- of inspanningsgerichte werkwijze moet de melding van de start of de stop van de ondersteuning gerelateerd zijn aan een toewijzing op basis van het ToewijzingNummer,TR019,9019
JW307,StopProduct,,,,,,"TR074: Indien StatusAanlevering de waarde '1' bevat, dan moet de sleutel van de betreffende aanlevering niet alleen uniek zijn binnen het bericht zelf, maar ook in combinatie met alle reeds ontvangen berichten.",TR074,9074
JW307,StopProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW307,StopProduct,,,,,,"TR382: De sleutelelementen uit het startbericht moeten in het stopbericht, waarin wordt aangegeven dat de betreffende levering (tijdelijk) beeindigd wordt, ongewijzigd worden overgenomen.",TR382,9069
JW307,StopProduct,,,,,,"TR413: Als er al een StopProduct voor hetzelfde Bsn, ToewijzingNummer, Begindatum en met RedenBeeindiging waarde 20 is, dan moet RedenBeeindiging <> aan waarde 20 zijn, indien StatusAanlevering waarde 1 of 2 heeft.",TR413,9413
JW307,StopProduct,,,,,,"TR414: Als er al een StopProduct voor hetzelfde Bsn, ToewijzingNummer en Begindatum is, dan moet Einddatum >= zijn aan Einddatum uit actuele StopProduct.",TR414,9414
JW307,StopProduct,,,,,,"TR415: Er mag geen StopProduct zijn met gelijk Bsn, ToewijzingNummer, Begindatum en RedenBeeindiging <> waarde 20, indien StatusAanlevering waarde 1 of 2 heeft",TR415,9415
JW307,StopProduct,,,,,,IV096: Hoe wordt de sleutel van een start-/stopbericht gevuld?,IV096,
JW307,StopProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS001: Minimale waarde 0,RS001,
JW307,StopProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS006: Maximale waarde 999999999 (9*9),RS006,
JW307,StopProduct,Product,,,ja,,IV075: Hoe moeten productgegevens gevuld worden?,IV075,
JW307,StopProduct,Product\CDT_Product,Categorie\LDT_ProductCategorie,,ja,JZ020,RS009: Maximale lengte 2 posities,RS009,
JW307,StopProduct,Product\CDT_Product,Code,,ja,,"TR381: ProductCode vullen met een code die, volgens de gehanteerde productcodelijst, past bij de ProductCategorie.",TR381,S329
JW307,StopProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS012: Maximale lengte 5 posities,RS012,
JW307,StopProduct,Product\CDT_Product,Code\LDT_ProductCode,,ja,,RS033: Geen lege elementen in XML.,RS033,
JW307,StopProduct,ToewijzingIngangsdatum\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW307,StopProduct,Begindatum\LDT_Datum,,,ja,,RS032: Datum vullen zonder tijdzone.,RS032,
JW307,StopProduct,StatusAanlevering,,,,,CS058: 1 (eerste aanlevering) of 3 (verwijderen aanlevering) vullen.,CS058,0001
JW307,StopProduct,StatusAanlevering,,,,,"TR063: Indien StatusAanlevering de waarde 3 (aanlevering verwijderen) bevat, dan moet voor de betreffende Client een eerdere aanlevering met dezelfde logische sleutel verstuurd zijn.",TR063,9063
JW307,StopProduct,StatusAanlevering,,,,,IV008: Hoe moet worden omgegaan met correcties van de regieberichten?,IV008,
JW307,StopProduct,StatusAanlevering\LDT_StatusAanlevering,,,,COD467,RS008: Maximale lengte 1 positie,RS008,
JW307,StopProduct,RedenBeeindiging\LDT_RedenBeeindiging,,,ja,JZ588,RS009: Maximale lengte 2 posities,RS009,
